Customer_ID,Total_MonetaryValue,Total_Quantity,Order_Frequency,Favorite_Category,favorite_Region,Customer_Type,Log_Total_MonetaryValue,Log_Total_Quantity,Cluster_KMeans,PCA1,PCA2
CUS1,38904.13,7508,305,Soft Drinks,Mecklenburg-Vorpommern,B2C,10.568881397518266,8.923857580099885,2,-1.0503273975005678,0.3872733155132382
CUS10,40288.83,6910,296,Water,Saarland,B2C,10.603854358767208,8.840869624091395,0,-1.1354438472385833,-0.12864842553919356
CUS100,36039.74,7163,287,Soft Drinks,Bayern,B2C,10.492405244252879,8.876823763180603,0,-1.2456778790973058,-0.6425639604198156
CUS1000,271186.9,44318,289,Soft Drinks,Thüringen,B2B,12.510567217533858,10.699168757989717,3,1.8668012781124832,-0.8114757518137264
CUS10000,253436.72,46184,299,Juices,Sachsen,B2B,12.442873391355612,10.74041034902671,3,1.8972108557686125,-0.2323179348813783
CUS1001,35749.85,6989,312,Water,Bremen,B2C,10.48432932406328,8.852235835227855,2,-1.1394443235926208,0.8028836085635753
CUS1002,247201.91,42082,277,Juices,Hessen,B2B,12.417964776341046,10.647399137646048,3,1.6862660264784444,-1.4934429780866536
CUS1003,45890.74,7342,294,Soft Drinks,Berlin,B2C,10.73404042342752,8.90150275745161,0,-0.9912544733238083,-0.25821254824260437
CUS1004,35256.32,7634,305,Juices,Baden-Württemberg,B2C,10.470428446256618,8.940498217652733,2,-1.117633409883003,0.39331881187543116
CUS1005,259063.08000000002,44551,293,Juices,Niedersachsen,B2B,12.464830723207507,10.704412325269505,3,1.8547407593165426,-0.5775985495178089
CUS1006,277493.87,47627,312,Juices,Schleswig-Holstein,B2B,12.533557725511262,10.771176102571065,1,2.0647534011703987,0.5090697190802446
CUS1007,263348.4,43029,280,Soft Drinks,Hamburg,B2B,12.481236946572126,10.669652825832646,3,1.771638800770865,-1.3266081684785995
CUS1008,227459.38,46794,295,Juices,Hamburg,B2B,12.334731348360446,10.753531638591356,3,1.7979895886041093,-0.4561794128399071
CUS1009,41081.63,6962,292,Water,Brandenburg,B2C,10.623340683414828,8.848365694942547,0,-1.134719539413759,-0.3615294235794544
CUS101,35974.1,6687,268,Water,Nordrhein-Westfalen,B2C,10.490582311459836,8.808070154764538,0,-1.4025346749243872,-1.7340314628719549
CUS1010,50247.909999999996,7284,295,Alcoholic Beverages,Hessen,B2C,10.824744134143769,8.893572718629304,0,-0.9180582203382331,-0.20660991623704283
CUS1011,222241.1,41037,284,Alcoholic Beverages,Nordrhein-Westfalen,B2B,12.311522607187587,10.622253745713692,3,1.6162359867830653,-1.0796605684984977
CUS1012,223221.43,44851,302,Alcoholic Beverages,Bremen,B2B,12.315923997271767,10.71112345958077,1,1.7859190837273584,-0.04759648805197241
CUS1013,246224.22,47059,305,Alcoholic Beverages,Baden-Württemberg,B2B,12.414001924529229,10.759178662281354,1,1.9203083896455484,0.11475155155337308
CUS1014,49482.06,7013,302,Alcoholic Beverages,Sachsen,B2C,10.809385667763172,8.855663430700123,2,-0.9237256087131521,0.20138439263300054
CUS1015,41273.83,7522,310,Juices,Bremen,B2C,10.628008150063916,8.925720273560222,2,-0.9739852446073233,0.6713688762050072
CUS1016,38510.5,6392,273,Juices,Baden-Württemberg,B2C,10.558712176972225,8.762958920766726,0,-1.3562194186789094,-1.447118277217396
CUS1017,42270.24,6770,289,Soft Drinks,Niedersachsen,B2C,10.651862228356494,8.820404065485645,0,-1.1495319235254553,-0.5347280580104755
CUS1018,47592.59,7783,324,Alcoholic Beverages,Sachsen-Anhalt,B2C,10.770453367285972,8.959825623865841,2,-0.7561377651117607,1.4664028492132533
CUS1019,253525.43,45284,290,Juices,Rheinland-Pfalz,B2B,12.443223356933672,10.72073113080905,3,1.8341626811658822,-0.7503742953075621
CUS102,271986.48,43393,295,Juices,Brandenburg,B2B,12.513511314806983,10.678076461683316,3,1.8841991762544499,-0.46380283976468945
CUS1020,212098.53,42042,282,Alcoholic Beverages,Baden-Württemberg,B2B,12.264810924614439,10.646448183053785,3,1.5866838397121203,-1.193443061272177
CUS1021,210311.96,40571,279,Water,Schleswig-Holstein,B2B,12.256351986040189,10.610833452495886,3,1.535522450506041,-1.3633399060025435
CUS1022,246530.2,41571,280,Alcoholic Beverages,Rheinland-Pfalz,B2B,12.415243836463434,10.635182142708313,3,1.6902042800884305,-1.3191725988386012
CUS1023,47534.91,7173,299,Soft Drinks,Saarland,B2C,10.769240704398678,8.878218658092228,0,-0.9545064119735528,0.02951683402821729
CUS1024,194445.76,41797,286,Soft Drinks,Rheinland-Pfalz,B2B,12.177913677064,10.640603770478197,3,1.5321197876804902,-0.9557002765414648
CUS1025,39745.82,7686,314,Juices,Niedersachsen,B2C,10.590285116882308,8.947285869349132,2,-0.9664963005511517,0.9034432323518229
CUS1026,247851.05,48291,308,Alcoholic Beverages,Bremen,B2B,12.420587274546246,10.785021194452279,1,1.9621577837032174,0.28551157365241553
CUS1027,43120.31,7344,308,Water,Schleswig-Holstein,B2C,10.671772585455358,8.901775088607979,2,-0.9678323294066996,0.5544664561061012
CUS1028,238225.39,44692,295,Water,Brandenburg,B2B,12.38097671901939,10.707572168786097,3,1.799241254517303,-0.4561906512064098
CUS1029,45629.36,7383,307,Alcoholic Beverages,Saarland,B2C,10.728328563436676,8.907070776182689,2,-0.9226401288740983,0.4921710086507052
CUS103,48218.05,6963,302,Alcoholic Beverages,Bayern,B2C,10.78350945017236,8.848509300888079,2,-0.9505920817957735,0.20382814869364893
CUS1030,259000.05,46772,314,Juices,Hessen,B2B,12.464587394727511,10.75306139234466,1,2.004496094159312,0.6309547326295716
CUS1031,284387.53,43712,281,Alcoholic Beverages,Baden-Württemberg,B2B,12.558096645577532,10.685400819681965,3,1.8523567543831698,-1.2757377501860636
CUS1032,231244.54,41200,268,Juices,Niedersachsen,B2B,12.351235368702199,10.626217806887722,3,1.5671388503517705,-2.0064282015836
CUS1033,41537.88,6865,277,Water,Rheinland-Pfalz,B2C,10.634385135102251,8.834336974017637,0,-1.2162990241896767,-1.227122042449469
CUS1034,36242.88,5902,254,Alcoholic Beverages,Schleswig-Holstein,B2C,10.498025818443633,8.683215975240689,0,-1.5699852652100261,-2.5334186026332484
CUS1035,40153.19,7313,313,Water,Sachsen,B2C,10.600482072584965,8.897545598709327,2,-1.0030450967127549,0.8486566353708959
CUS1036,43806.03,6678,293,Soft Drinks,Saarland,B2C,10.68754958576853,8.806723554725636,0,-1.1100370730340094,-0.3054679196067042
CUS1037,235604.7,45363,331,Water,Nordrhein-Westfalen,B2B,12.369914924015296,10.72247411793522,1,1.992729520067591,1.6214813074747532
CUS1038,229074.31,46593,290,Soft Drinks,Nordrhein-Westfalen,B2B,12.341806093101079,10.749227056459247,3,1.773868592841137,-0.7449887383886854
CUS1039,34475.56,7735,316,Soft Drinks,Rheinland-Pfalz,B2C,10.448034951819034,8.95364003713313,2,-1.0672317937808493,1.028931984458759
CUS104,33113.71,6761,282,Soft Drinks,Berlin,B2C,10.407732873520022,8.819073983267831,0,-1.387409368956989,-0.920626468354125
CUS1040,32852.74,6804,312,Alcoholic Beverages,Baden-Württemberg,B2C,10.39982086826938,8.825412915085566,2,-1.2299398804569852,0.8111210636476651
CUS1041,40552.85,6858,310,Juices,Hamburg,B2C,10.61038599954956,8.83331693749932,2,-1.061960102674008,0.6795239032847094
CUS1042,325488.62,46975,311,Alcoholic Beverages,Baden-Württemberg,B2B,12.693085850721362,10.757392111974188,1,2.1790075747984217,0.44057549708639654
CUS1043,39575.5,6843,289,Alcoholic Beverages,Hamburg,B2C,10.585990786747285,8.831127635012084,0,-1.194890489927508,-0.5306528162431228
CUS1044,267413.02,46006,308,Alcoholic Beverages,Bremen,B2B,12.49655337309079,10.736548837807,1,1.9857261125673125,0.28348916920562645
